Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_1, subsampled at 0.030
146.6 MB loaded in 0.1s
Found KDTree for cloud Area_2, subsampled at 0.030
159.1 MB loaded in 0.1s
Found KDTree for cloud Area_3, subsampled at 0.030
62.6 MB loaded in 0.0s
Found KDTree for cloud Area_4, subsampled at 0.030
144.2 MB loaded in 0.1s
Found KDTree for cloud Area_6, subsampled at 0.030
137.9 MB loaded in 0.1s
Preparing potentials
Done in 0.0s
Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_5, subsampled at 0.030
260.4 MB loaded in 0.2s
Preparing potentials
Done in 0.0s
Preparing reprojection indices for testing
Area_5 done in 0.2s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"potentials_1.200_0.030_6": 43976
Check neighbors limit dictionary
[92m"0.030_0.075": 28
[92m"0.060_0.150": 32
[92m"0.120_0.300": 40
[92m"0.240_1.200": 151
[92m"0.480_2.400": 66
Calibration done in 0.0s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"potentials_1.200_0.030_6": 43976
Check neighbors limit dictionary
[92m"0.030_0.075": 28
[92m"0.060_0.150": 32
[92m"0.120_0.300": 40
[92m"0.240_1.200": 151
[92m"0.480_2.400": 66
Calibration done in 0.0s
Model Preparation
*****************
Done in 0.8s
Start training
**************
Backend QtAgg is interactive backend. Turning interactive mode on.
e000-i0000 => L=10.870 acc=  6% / t(ms): 1013.7 4719.3 107.9)
e000-i0005 => L=9.622 acc= 44% / t(ms):   0.8  90.2 119.1)
e000-i0010 => L=9.023 acc= 46% / t(ms):   0.7  88.9 120.0)
e000-i0015 => L=6.950 acc= 49% / t(ms):   0.6  88.9 124.4)
e000-i0020 => L=7.013 acc= 50% / t(ms):   0.6  88.3 124.7)
e000-i0025 => L=6.346 acc= 69% / t(ms):   0.6  87.1 124.0)
e000-i0030 => L=6.898 acc= 54% / t(ms):   0.6  87.4 123.9)
e000-i0035 => L=6.210 acc= 60% / t(ms):   0.5  89.0 124.7)
e000-i0040 => L=7.216 acc= 39% / t(ms):   0.6  89.7 126.9)
e000-i0045 => L=6.324 acc= 63% / t(ms):   0.6  88.4 125.9)
e000-i0050 => L=6.089 acc= 62% / t(ms):   0.6  87.0 125.1)
e000-i0055 => L=7.413 acc= 51% / t(ms):   0.6  88.2 125.3)
e000-i0060 => L=6.649 acc= 52% / t(ms):   0.6  86.6 123.4)
e000-i0065 => L=6.460 acc= 45% / t(ms):   0.6  86.7 123.1)
e000-i0070 => L=5.642 acc= 63% / t(ms):   0.6  85.7 122.6)
e000-i0075 => L=6.194 acc= 60% / t(ms):   0.7  86.4 122.0)
e000-i0080 => L=6.011 acc= 58% / t(ms):   0.7  85.0 120.9)
e000-i0085 => L=6.208 acc= 56% / t(ms):   0.6  85.2 121.3)
e000-i0090 => L=5.687 acc= 70% / t(ms):   0.6  85.5 121.1)
e000-i0095 => L=6.153 acc= 57% / t(ms):   0.6  85.6 122.1)
e000-i0100 => L=5.768 acc= 66% / t(ms):   0.6  85.9 123.7)
e000-i0105 => L=5.971 acc= 62% / t(ms):   0.6  85.2 122.8)
e000-i0110 => L=5.744 acc= 67% / t(ms):   0.6  86.1 123.8)
e000-i0115 => L=5.607 acc= 61% / t(ms):   0.6  86.4 124.5)
e000-i0120 => L=4.960 acc= 68% / t(ms):   0.6  85.7 122.3)
e000-i0125 => L=5.750 acc= 56% / t(ms):   0.5  89.3 126.4)
e000-i0130 => L=6.371 acc= 30% / t(ms):   0.5  89.6 127.6)
e000-i0135 => L=5.139 acc= 64% / t(ms):   0.6  90.1 127.5)
