Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_1, subsampled at 0.030
146.6 MB loaded in 0.1s
Found KDTree for cloud Area_2, subsampled at 0.030
159.1 MB loaded in 0.2s
Found KDTree for cloud Area_3, subsampled at 0.030
62.6 MB loaded in 0.1s
Found KDTree for cloud Area_4, subsampled at 0.030
144.2 MB loaded in 0.1s
Found KDTree for cloud Area_6, subsampled at 0.030
137.9 MB loaded in 0.1s
Preparing potentials
Done in 0.0s
Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_5, subsampled at 0.030
260.4 MB loaded in 0.2s
Preparing potentials
Done in 0.0s
Preparing reprojection indices for testing
Area_5 done in 0.2s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"potentials_1.200_0.030_6": 43976
Check neighbors limit dictionary
[92m"0.030_0.075": 28
[92m"0.060_0.150": 32
[92m"0.120_0.300": 40
[92m"0.240_1.200": 151
[92m"0.480_2.400": 66
Calibration done in 0.0s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"potentials_1.200_0.030_6": 43976
Check neighbors limit dictionary
[92m"0.030_0.075": 28
[92m"0.060_0.150": 32
[92m"0.120_0.300": 40
[92m"0.240_1.200": 151
[92m"0.480_2.400": 66
Calibration done in 0.0s
Model Preparation
*****************
Done in 0.9s
Start training
**************
e000-i0000 => L=10.537 acc=  8% / t(ms): 839.7 1252.1 103.9)
e000-i0005 => L=9.723 acc= 36% / t(ms):   0.6  83.9 118.6)
e000-i0010 => L=8.949 acc= 52% / t(ms):   0.5  84.3 120.7)
e000-i0016 => L=6.889 acc= 59% / t(ms):   0.5  82.6 119.5)
e000-i0021 => L=7.222 acc= 49% / t(ms):   0.5  82.2 120.7)
e000-i0026 => L=6.875 acc= 57% / t(ms):   0.5  81.3 121.2)
e000-i0031 => L=6.833 acc= 62% / t(ms):   0.5  81.3 121.9)
e000-i0036 => L=5.918 acc= 67% / t(ms):   0.5  82.0 121.7)
e000-i0041 => L=6.500 acc= 50% / t(ms):   0.5  82.5 121.1)
e000-i0046 => L=6.382 acc= 47% / t(ms):   0.5  81.3 121.6)
e000-i0051 => L=6.128 acc= 55% / t(ms):   0.5  81.1 120.9)
e000-i0056 => L=6.035 acc= 53% / t(ms):   0.5  81.7 119.2)
e000-i0061 => L=5.606 acc= 55% / t(ms):   0.5  82.3 120.2)
e000-i0067 => L=6.450 acc= 44% / t(ms):   0.5  80.3 118.7)
e000-i0072 => L=5.529 acc= 69% / t(ms):   0.5  79.9 118.9)
e000-i0078 => L=5.482 acc= 64% / t(ms):   0.5  80.1 119.6)
e000-i0084 => L=5.628 acc= 60% / t(ms):   0.5  79.4 121.0)
e000-i0089 => L=5.107 acc= 61% / t(ms):   0.5  79.7 122.7)
e000-i0094 => L=5.037 acc= 66% / t(ms):   0.5  81.7 123.4)
e000-i0099 => L=5.278 acc= 71% / t(ms):   0.5  81.5 124.1)
e000-i0104 => L=4.788 acc= 79% / t(ms):   0.5  82.0 123.9)
e000-i0110 => L=5.749 acc= 66% / t(ms):   0.5  81.0 122.3)
e000-i0115 => L=5.824 acc= 64% / t(ms):   0.5  80.7 122.1)
e000-i0120 => L=5.304 acc= 56% / t(ms):   0.5  81.6 122.1)
e000-i0125 => L=4.863 acc= 77% / t(ms):   0.5  81.3 120.8)
e000-i0131 => L=4.943 acc= 66% / t(ms):   0.5  80.7 119.5)
e000-i0136 => L=5.065 acc= 63% / t(ms):   0.5  80.1 120.2)
e000-i0141 => L=5.425 acc= 56% / t(ms):   0.5  80.7 121.1)
e000-i0146 => L=5.421 acc= 64% / t(ms):   0.5  80.8 120.0)
e000-i0151 => L=5.019 acc= 60% / t(ms):   0.5  81.7 119.4)
e000-i0156 => L=5.083 acc= 60% / t(ms):   0.5  81.9 120.1)
e000-i0161 => L=5.434 acc= 47% / t(ms):   0.5  82.3 120.5)
e000-i0166 => L=4.930 acc= 64% / t(ms):   0.5  81.6 120.3)
e000-i0171 => L=5.005 acc= 60% / t(ms):   0.5  81.5 119.5)
e000-i0176 => L=5.245 acc= 50% / t(ms):   0.6  82.6 119.9)
e000-i0181 => L=4.650 acc= 68% / t(ms):   0.5  81.5 120.5)
e000-i0186 => L=4.535 acc= 61% / t(ms):   0.5  83.5 120.5)
e000-i0191 => L=4.514 acc= 62% / t(ms):   0.5  82.7 121.0)
e000-i0196 => L=5.047 acc= 52% / t(ms):   0.5  82.4 121.0)
e000-i0201 => L=4.935 acc= 56% / t(ms):   0.5  82.6 122.9)
e000-i0206 => L=4.962 acc= 57% / t(ms):   0.5  83.2 122.8)
e000-i0212 => L=4.952 acc= 59% / t(ms):   0.5  81.2 121.4)
e000-i0217 => L=4.957 acc= 63% / t(ms):   0.5  81.7 122.5)
e000-i0222 => L=4.398 acc= 67% / t(ms):   0.5  80.6 121.6)
e000-i0227 => L=3.955 acc= 75% / t(ms):   0.5  80.5 120.8)
e000-i0232 => L=4.242 acc= 63% / t(ms):   0.5  81.2 122.3)
e000-i0237 => L=4.579 acc= 59% / t(ms):   0.5  82.3 123.1)
e000-i0242 => L=4.920 acc= 55% / t(ms):   0.5  82.1 122.5)
e000-i0247 => L=4.220 acc= 73% / t(ms):   0.5  82.9 123.1)
e000-i0252 => L=4.796 acc= 47% / t(ms):   0.5  83.9 123.2)
e000-i0258 => L=4.506 acc= 63% / t(ms):   0.5  82.0 121.9)
e000-i0263 => L=4.026 acc= 66% / t(ms):   0.5  81.2 120.8)
e000-i0268 => L=4.254 acc= 66% / t(ms):   0.5  81.1 120.4)
e000-i0273 => L=4.624 acc= 52% / t(ms):   0.5  81.1 119.5)
e000-i0279 => L=4.281 acc= 68% / t(ms):   0.5  81.5 119.2)
e000-i0285 => L=4.471 acc= 64% / t(ms):   0.5  80.7 119.5)
e000-i0290 => L=4.028 acc= 74% / t(ms):   0.5  81.3 120.9)
e000-i0295 => L=4.192 acc= 74% / t(ms):   0.4  80.7 121.3)
e000-i0301 => L=4.802 acc= 47% / t(ms):   0.5  79.8 120.4)
e000-i0306 => L=4.002 acc= 64% / t(ms):   0.5  80.9 121.5)
e000-i0311 => L=4.035 acc= 72% / t(ms):   0.5  81.0 121.2)
e000-i0316 => L=3.836 acc= 69% / t(ms):   0.5  82.7 121.7)
e000-i0321 => L=4.236 acc= 65% / t(ms):   0.5  83.1 122.9)
e000-i0326 => L=4.464 acc= 58% / t(ms):   0.5  82.6 122.1)
e000-i0331 => L=4.313 acc= 60% / t(ms):   0.5  81.7 121.4)
e000-i0336 => L=4.688 acc= 56% / t(ms):   0.5  82.0 120.3)
e000-i0342 => L=4.361 acc= 58% / t(ms):   0.5  81.6 119.9)
e000-i0347 => L=4.420 acc= 47% / t(ms):   0.5  82.9 121.1)
e000-i0352 => L=4.125 acc= 68% / t(ms):   0.5  83.0 122.0)
e000-i0357 => L=3.778 acc= 69% / t(ms):   0.5  82.9 121.1)
e000-i0362 => L=3.271 acc= 80% / t(ms):   0.5  82.3 120.0)
e000-i0368 => L=3.981 acc= 64% / t(ms):   0.5  81.8 120.5)
e000-i0373 => L=3.529 acc= 68% / t(ms):   0.5  82.1 119.9)
e000-i0379 => L=3.600 acc= 76% / t(ms):   0.5  80.9 119.7)
e000-i0385 => L=3.778 acc= 63% / t(ms):   0.5  80.3 120.0)
e000-i0390 => L=3.971 acc= 58% / t(ms):   0.5  81.5 120.6)
e000-i0395 => L=3.796 acc= 70% / t(ms):   0.5  82.5 121.0)
e000-i0400 => L=3.781 acc= 67% / t(ms):   0.5  82.6 120.8)
e000-i0406 => L=3.776 acc= 73% / t(ms):   0.5  80.8 119.9)
e000-i0411 => L=3.853 acc= 71% / t(ms):   0.5  81.1 119.0)
e000-i0416 => L=4.187 acc= 52% / t(ms):   0.5  80.5 120.5)
e000-i0421 => L=3.594 acc= 74% / t(ms):   0.5  80.2 120.7)
e000-i0427 => L=4.267 acc= 60% / t(ms):   0.5  80.4 119.9)
e000-i0432 => L=3.486 acc= 74% / t(ms):   0.5  81.7 121.3)
e000-i0437 => L=4.005 acc= 66% / t(ms):   0.5  82.3 121.9)
e000-i0442 => L=3.502 acc= 76% / t(ms):   0.5  81.4 121.5)
e000-i0447 => L=3.938 acc= 60% / t(ms):   0.5  81.7 122.1)
e000-i0452 => L=4.132 acc= 59% / t(ms):   0.5  83.0 122.2)
e000-i0457 => L=4.180 acc= 54% / t(ms):   0.4  83.4 120.0)
e000-i0463 => L=3.825 acc= 61% / t(ms):   0.5  82.0 117.9)
e000-i0469 => L=4.141 acc= 63% / t(ms):   0.4  82.4 117.5)
e000-i0474 => L=3.479 acc= 72% / t(ms):   0.5  83.5 118.9)
e000-i0479 => L=4.613 acc= 43% / t(ms):   0.4  83.2 119.6)
e000-i0485 => L=3.370 acc= 71% / t(ms):   0.4  82.8 119.4)
e000-i0490 => L=3.275 acc= 77% / t(ms):   0.4  81.7 119.4)
e000-i0496 => L=4.030 acc= 62% / t(ms):   0.3  80.1 118.6)
Validation : 2.0% (timings : 47.43 8.79)
Validation : 34.0% (timings : 20.99 39.50)
Validation : 72.0% (timings : 8.02 48.33)
S3DIS mean IoU = 26.9%
e001-i0000 => L=3.768 acc= 65% / t(ms): 5770.4  85.7 162.5)
e001-i0005 => L=3.702 acc= 72% / t(ms):   7.9  85.8 120.2)
e001-i0010 => L=3.287 acc= 70% / t(ms):   4.9  84.0 119.8)
e001-i0015 => L=4.038 acc= 58% / t(ms):   3.0  82.9 119.0)
e001-i0020 => L=3.184 acc= 71% / t(ms):   2.0  82.8 119.2)
e001-i0025 => L=4.168 acc= 59% / t(ms):   1.4  82.2 119.7)
e001-i0031 => L=3.594 acc= 70% / t(ms):   1.0  81.9 119.0)
e001-i0036 => L=3.634 acc= 72% / t(ms):   0.7  82.1 119.8)
e001-i0042 => L=3.233 acc= 72% / t(ms):   0.6  82.1 119.0)
e001-i0047 => L=3.947 acc= 61% / t(ms):   0.6  82.6 120.1)
e001-i0052 => L=4.453 acc= 58% / t(ms):   0.5  82.7 120.1)
e001-i0058 => L=3.607 acc= 72% / t(ms):   0.5  81.6 119.3)
e001-i0063 => L=4.312 acc= 61% / t(ms):   0.5  82.4 120.8)
e001-i0068 => L=4.107 acc= 59% / t(ms):   0.5  82.3 121.3)
e001-i0073 => L=3.457 acc= 74% / t(ms):   0.5  81.4 121.6)
e001-i0078 => L=4.154 acc= 61% / t(ms):   0.6  82.3 121.1)
e001-i0084 => L=3.359 acc= 73% / t(ms):   0.5  81.5 120.6)
e001-i0089 => L=3.127 acc= 85% / t(ms):   0.5  81.3 120.9)
e001-i0094 => L=3.681 acc= 64% / t(ms):   0.5  81.0 121.2)
e001-i0099 => L=3.550 acc= 69% / t(ms):   0.5  80.3 121.4)
e001-i0104 => L=3.716 acc= 68% / t(ms):   0.6  81.0 124.1)
e001-i0109 => L=4.138 acc= 58% / t(ms):   0.6  81.1 121.9)
e001-i0114 => L=3.365 acc= 72% / t(ms):   0.5  81.3 121.3)
e001-i0119 => L=3.501 acc= 71% / t(ms):   0.5  80.9 121.7)
e001-i0125 => L=3.666 acc= 67% / t(ms):   0.5  79.2 120.5)
e001-i0130 => L=3.310 acc= 69% / t(ms):   0.5  80.0 121.4)
e001-i0135 => L=3.077 acc= 84% / t(ms):   0.5  80.9 121.1)
e001-i0140 => L=4.101 acc= 72% / t(ms):   0.5  80.7 120.6)
e001-i0145 => L=3.317 acc= 71% / t(ms):   0.5  80.9 121.3)
e001-i0151 => L=3.457 acc= 71% / t(ms):   0.5  79.6 120.6)
e001-i0156 => L=3.232 acc= 78% / t(ms):   0.5  80.6 121.6)
e001-i0161 => L=2.897 acc= 86% / t(ms):   0.5  81.3 122.2)
e001-i0166 => L=3.234 acc= 74% / t(ms):   0.6  81.1 122.4)
e001-i0172 => L=3.592 acc= 60% / t(ms):   0.5  79.4 120.2)
e001-i0177 => L=3.425 acc= 74% / t(ms):   0.5  79.6 122.0)
e001-i0183 => L=3.806 acc= 66% / t(ms):   0.5  79.1 120.6)
e001-i0188 => L=3.504 acc= 64% / t(ms):   0.5  79.7 121.1)
e001-i0193 => L=3.380 acc= 73% / t(ms):   0.5  80.8 122.4)
e001-i0198 => L=3.396 acc= 77% / t(ms):   0.5  82.3 121.6)
e001-i0203 => L=3.283 acc= 80% / t(ms):   0.5  81.9 121.4)
e001-i0209 => L=3.591 acc= 72% / t(ms):   0.5  81.5 120.4)
e001-i0214 => L=3.486 acc= 66% / t(ms):   0.5  80.7 121.4)
e001-i0219 => L=3.514 acc= 68% / t(ms):   0.5  80.9 121.6)
e001-i0224 => L=3.441 acc= 64% / t(ms):   0.6  81.8 120.9)
e001-i0230 => L=3.724 acc= 70% / t(ms):   0.6  81.3 120.7)
e001-i0235 => L=4.015 acc= 63% / t(ms):   0.5  81.0 120.6)
e001-i0240 => L=3.212 acc= 74% / t(ms):   0.6  80.8 121.1)
e001-i0246 => L=3.189 acc= 67% / t(ms):   0.5  80.7 120.5)
e001-i0251 => L=4.197 acc= 54% / t(ms):   0.5  81.2 121.5)
e001-i0256 => L=3.187 acc= 75% / t(ms):   0.5  82.6 121.8)
e001-i0261 => L=3.535 acc= 70% / t(ms):   0.5  81.5 122.1)
e001-i0266 => L=3.874 acc= 56% / t(ms):   0.5  82.0 122.2)
e001-i0271 => L=3.518 acc= 70% / t(ms):   0.5  82.3 122.3)
e001-i0276 => L=3.432 acc= 68% / t(ms):   0.5  82.2 121.3)
e001-i0281 => L=3.496 acc= 70% / t(ms):   0.5  81.7 121.0)
e001-i0286 => L=2.971 acc= 78% / t(ms):   0.5  81.5 119.9)
e001-i0291 => L=3.403 acc= 72% / t(ms):   0.5  81.0 120.2)
e001-i0296 => L=2.821 acc= 86% / t(ms):   0.5  81.1 120.3)
e001-i0301 => L=3.222 acc= 77% / t(ms):   0.5  80.6 120.3)
e001-i0307 => L=3.495 acc= 70% / t(ms):   0.5  78.6 119.7)
e001-i0313 => L=3.288 acc= 68% / t(ms):   0.4  79.6 119.5)
