Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_1, subsampled at 0.030
146.6 MB loaded in 0.1s
Found KDTree for cloud Area_2, subsampled at 0.030
159.1 MB loaded in 0.1s
Found KDTree for cloud Area_3, subsampled at 0.030
62.6 MB loaded in 0.0s
Found KDTree for cloud Area_4, subsampled at 0.030
144.2 MB loaded in 0.1s
Found KDTree for cloud Area_6, subsampled at 0.030
137.9 MB loaded in 0.1s
Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_5, subsampled at 0.030
260.4 MB loaded in 0.2s
Preparing reprojection indices for testing
Area_5 done in 0.2s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"random_1.200_0.030_6": 54473
Check neighbors limit dictionary
[92m"0.030_0.075": 28
[92m"0.060_0.150": 32
[92m"0.120_0.300": 39
[92m"0.240_1.200": 155
[92m"0.480_2.400": 68
Calibration done in 0.0s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"random_1.200_0.030_6": 54473
Check neighbors limit dictionary
[92m"0.030_0.075": 28
[92m"0.060_0.150": 32
[92m"0.120_0.300": 39
[92m"0.240_1.200": 155
[92m"0.480_2.400": 68
Calibration done in 0.0s
Model Preparation
*****************
Done in 0.7s
Start training
**************
Backend QtAgg is interactive backend. Turning interactive mode on.
e000-i0000 => L=10.667 acc= 13% / t(ms): 1517.8 639626.0 126.0)
e000-i0005 => L=9.152 acc= 35% / t(ms):   2.6 124.9 128.0)
e000-i0011 => L=8.259 acc= 43% / t(ms):   1.7 101.3 118.2)
e000-i0017 => L=6.626 acc= 44% / t(ms):   1.3  87.7 110.8)
e000-i0023 => L=7.347 acc= 39% / t(ms):   1.0  79.3 107.4)
e000-i0029 => L=6.765 acc= 45% / t(ms):   0.8  75.6 106.6)
e000-i0035 => L=5.894 acc= 58% / t(ms):   0.7  73.1 103.8)
e000-i0041 => L=6.212 acc= 52% / t(ms):   0.7  72.5 104.3)
e000-i0047 => L=6.042 acc= 48% / t(ms):   0.7  71.7 103.1)
e000-i0053 => L=5.916 acc= 36% / t(ms):   0.6  70.4 102.3)
e000-i0059 => L=5.679 acc= 60% / t(ms):   0.6  70.1 102.7)
e000-i0065 => L=4.905 acc= 78% / t(ms):   0.6  70.7 102.0)
e000-i0071 => L=5.810 acc= 45% / t(ms):   0.6  71.3 102.1)
e000-i0077 => L=5.828 acc= 45% / t(ms):   0.7  71.5 104.6)
e000-i0083 => L=5.081 acc= 58% / t(ms):   0.6  72.7 105.9)
e000-i0089 => L=4.978 acc= 72% / t(ms):   0.6  72.0 105.8)
e000-i0095 => L=5.230 acc= 58% / t(ms):   0.6  72.0 107.4)
e000-i0101 => L=5.262 acc= 61% / t(ms):   0.7  71.8 107.0)
