Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_1, subsampled at 0.030
146.6 MB loaded in 0.1s
Found KDTree for cloud Area_2, subsampled at 0.030
159.1 MB loaded in 0.1s
Found KDTree for cloud Area_3, subsampled at 0.030
62.6 MB loaded in 0.0s
Found KDTree for cloud Area_4, subsampled at 0.030
144.2 MB loaded in 0.1s
Found KDTree for cloud Area_6, subsampled at 0.030
137.9 MB loaded in 0.1s
Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_5, subsampled at 0.030
260.4 MB loaded in 0.2s
Preparing reprojection indices for testing
Area_5 done in 0.2s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"random_1.200_0.030_6": 55150
Check neighbors limit dictionary
[92m"0.030_0.075": 29
[92m"0.060_0.150": 33
[92m"0.120_0.300": 40
[92m"0.240_0.600": 41
[92m"0.480_1.200": 37
Calibration done in 0.0s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"random_1.200_0.030_6": 55150
Check neighbors limit dictionary
[92m"0.030_0.075": 29
[92m"0.060_0.150": 33
[92m"0.120_0.300": 40
[92m"0.240_0.600": 41
[92m"0.480_1.200": 37
Calibration done in 0.0s
Model Preparation
*****************
Done in 1.0s
Start training
**************
Backend QtAgg is interactive backend. Turning interactive mode on.
e000-i0000 => L=2.590 acc=  6% / t(ms): 1369.6 174490.7  67.0)
e000-i0007 => L=2.468 acc= 21% / t(ms):  13.3  62.5  80.8)
e000-i0014 => L=2.224 acc= 32% / t(ms):   8.8  63.7  80.5)
e000-i0021 => L=1.968 acc= 37% / t(ms):   6.5  63.1  80.4)
e000-i0028 => L=2.511 acc= 20% / t(ms):   6.2  61.1  82.6)
e000-i0035 => L=2.168 acc= 38% / t(ms):   5.3  61.9  82.5)
e000-i0042 => L=2.284 acc= 30% / t(ms):   5.0  61.4  82.2)
e000-i0049 => L=1.683 acc= 48% / t(ms):   4.8  62.2  81.0)
e000-i0056 => L=1.546 acc= 55% / t(ms):   4.9  61.6  80.5)
e000-i0063 => L=2.044 acc= 36% / t(ms):   4.7  63.3  81.2)
e000-i0070 => L=1.698 acc= 45% / t(ms):   4.8  64.1  82.0)
e000-i0077 => L=1.594 acc= 52% / t(ms):   5.1  62.9  82.2)
e000-i0084 => L=1.732 acc= 51% / t(ms):   5.2  64.6  84.8)
e000-i0091 => L=1.501 acc= 59% / t(ms):   5.0  65.5  85.4)
e000-i0098 => L=1.465 acc= 52% / t(ms):   4.8  63.0  83.0)
e000-i0105 => L=1.250 acc= 59% / t(ms):   4.8  63.3  82.4)
e000-i0112 => L=1.425 acc= 53% / t(ms):   5.0  64.8  83.1)
e000-i0119 => L=1.641 acc= 40% / t(ms):   5.2  64.5  84.9)
e000-i0126 => L=1.525 acc= 52% / t(ms):   5.2  64.2  84.9)
e000-i0133 => L=1.578 acc= 49% / t(ms):   5.0  64.3  84.5)
e000-i0140 => L=1.461 acc= 58% / t(ms):   5.2  62.0  82.8)
e000-i0147 => L=1.550 acc= 52% / t(ms):   5.2  62.3  81.4)
e000-i0154 => L=1.463 acc= 57% / t(ms):   5.2  63.5  82.1)
e000-i0161 => L=1.753 acc= 42% / t(ms):   4.9  65.8  84.9)
e000-i0168 => L=1.782 acc= 44% / t(ms):   4.8  62.9  82.2)
e000-i0175 => L=1.218 acc= 62% / t(ms):   4.7  63.4  82.4)
e000-i0182 => L=1.658 acc= 49% / t(ms):   4.7  63.7  82.8)
e000-i0189 => L=1.434 acc= 48% / t(ms):   4.6  62.9  83.2)
e000-i0196 => L=1.785 acc= 44% / t(ms):   4.7  61.0  82.3)
e000-i0203 => L=1.420 acc= 52% / t(ms):   4.8  60.6  81.6)
e000-i0210 => L=1.282 acc= 57% / t(ms):   5.3  61.1  82.0)
e000-i0217 => L=1.605 acc= 49% / t(ms):   5.3  61.1  82.6)
e000-i0224 => L=1.241 acc= 63% / t(ms):   5.0  63.0  82.4)
e000-i0231 => L=1.337 acc= 52% / t(ms):   4.8  64.5  83.3)
e000-i0238 => L=1.393 acc= 56% / t(ms):   5.0  65.6  83.5)
e000-i0245 => L=1.467 acc= 52% / t(ms):   5.1  64.4  82.3)
e000-i0252 => L=1.464 acc= 52% / t(ms):   5.0  63.8  81.3)
e000-i0259 => L=0.917 acc= 77% / t(ms):   5.0  63.4  82.6)
e000-i0266 => L=1.185 acc= 63% / t(ms):   4.9  64.3  83.3)
e000-i0273 => L=1.171 acc= 55% / t(ms):   5.0  63.3  83.6)
e000-i0280 => L=1.443 acc= 51% / t(ms):   4.8  63.7  82.4)
e000-i0287 => L=1.189 acc= 66% / t(ms):   4.8  63.3  82.2)
e000-i0294 => L=1.416 acc= 60% / t(ms):   4.7  63.7  83.5)
