2023-04-04 13:41:01,326 INFO    MainThread:235215 [wandb_setup.py:_flush():76] Configure stats pid to 235215
2023-04-04 13:41:01,327 INFO    MainThread:235215 [wandb_setup.py:_flush():76] Loading settings from /home/zhenli/.config/wandb/settings
2023-04-04 13:41:01,327 INFO    MainThread:235215 [wandb_setup.py:_flush():76] Loading settings from /home/zhenli/KPConv-Triplane/wandb/settings
2023-04-04 13:41:01,327 INFO    MainThread:235215 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-04 13:41:01,327 INFO    MainThread:235215 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-04 13:41:01,327 INFO    MainThread:235215 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train_S3DIS.py', 'program': 'train_S3DIS.py'}
2023-04-04 13:41:01,327 INFO    MainThread:235215 [wandb_init.py:_log_setup():506] Logging user logs to /home/zhenli/KPConv-Triplane/wandb/run-20230404_134101-2x6973f5/logs/debug.log
2023-04-04 13:41:01,327 INFO    MainThread:235215 [wandb_init.py:_log_setup():507] Logging internal logs to /home/zhenli/KPConv-Triplane/wandb/run-20230404_134101-2x6973f5/logs/debug-internal.log
2023-04-04 13:41:01,327 INFO    MainThread:235215 [wandb_init.py:init():546] calling init triggers
2023-04-04 13:41:01,327 INFO    MainThread:235215 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {}
2023-04-04 13:41:01,327 INFO    MainThread:235215 [wandb_init.py:init():602] starting backend
2023-04-04 13:41:01,327 INFO    MainThread:235215 [wandb_init.py:init():606] setting up manager
2023-04-04 13:41:01,328 INFO    MainThread:235215 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-04-04 13:41:01,331 INFO    MainThread:235215 [wandb_init.py:init():613] backend started and connected
2023-04-04 13:41:01,334 INFO    MainThread:235215 [wandb_init.py:init():701] updated telemetry
2023-04-04 13:41:01,341 INFO    MainThread:235215 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-04-04 13:41:01,670 INFO    MainThread:235215 [wandb_run.py:_on_init():2133] communicating current version
2023-04-04 13:41:01,790 INFO    MainThread:235215 [wandb_run.py:_on_init():2142] got version response 
2023-04-04 13:41:01,790 INFO    MainThread:235215 [wandb_init.py:init():789] starting run threads in backend
2023-04-04 13:41:03,895 INFO    MainThread:235215 [wandb_run.py:_console_start():2114] atexit reg
2023-04-04 13:41:03,895 INFO    MainThread:235215 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-04-04 13:41:03,896 INFO    MainThread:235215 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-04-04 13:41:03,896 INFO    MainThread:235215 [wandb_run.py:_redirect():2059] Redirects installed.
2023-04-04 13:41:03,896 INFO    MainThread:235215 [wandb_init.py:init():831] run started, returning control to user process
2023-04-04 13:41:03,896 INFO    MainThread:235215 [wandb_run.py:_config_callback():1251] config_cb None None {'num_layers': 5, 'deform_layers': [False, False, False, False, False]}
