Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_1, subsampled at 0.030
146.6 MB loaded in 0.2s
Found KDTree for cloud Area_2, subsampled at 0.030
159.1 MB loaded in 0.2s
Found KDTree for cloud Area_3, subsampled at 0.030
62.6 MB loaded in 0.1s
Found KDTree for cloud Area_4, subsampled at 0.030
144.2 MB loaded in 0.2s
Found KDTree for cloud Area_6, subsampled at 0.030
137.9 MB loaded in 0.1s
Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_5, subsampled at 0.030
260.4 MB loaded in 0.3s
Preparing reprojection indices for testing
Area_5 done in 0.3s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"random_1.200_0.030_6": 53173
Check neighbors limit dictionary
[92m"0.030_0.075": 28
[92m"0.060_0.150": 33
[92m"0.120_0.300": 40
[92m"0.240_0.600": 41
[92m"0.480_1.200": 37
Calibration done in 0.0s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"random_1.200_0.030_6": 53173
Check neighbors limit dictionary
[92m"0.030_0.075": 28
[92m"0.060_0.150": 33
[92m"0.120_0.300": 40
[92m"0.240_0.600": 41
[92m"0.480_1.200": 37
Calibration done in 0.0s
Model Preparation
*****************
Done in 1.0s
Start training
**************
Backend QtAgg is interactive backend. Turning interactive mode on.
e000-i0000 => L=2.614 acc=  8% / t(ms): 1109.3 188596.4  63.8)
e000-i0007 => L=2.513 acc= 15% / t(ms):   3.4  68.9  87.0)
e000-i0014 => L=2.366 acc= 22% / t(ms):   4.5  65.2  86.2)
e000-i0021 => L=2.152 acc= 30% / t(ms):   5.3  65.8  84.3)
e000-i0028 => L=2.600 acc= 27% / t(ms):   5.7  66.8  85.3)
e000-i0035 => L=2.177 acc= 40% / t(ms):   5.8  69.0  87.6)
e000-i0042 => L=1.735 acc= 52% / t(ms):   6.1  67.6  86.4)
e000-i0049 => L=1.524 acc= 45% / t(ms):   5.7  67.8  86.9)
e000-i0056 => L=1.779 acc= 49% / t(ms):   5.6  67.0  85.3)
e000-i0063 => L=1.962 acc= 40% / t(ms):   5.7  65.6  84.1)
e000-i0070 => L=2.108 acc= 38% / t(ms):   5.7  65.3  83.8)
e000-i0077 => L=1.609 acc= 51% / t(ms):   6.0  66.0  84.2)
e000-i0084 => L=1.505 acc= 53% / t(ms):   6.0  66.5  84.7)
e000-i0091 => L=1.476 acc= 49% / t(ms):   6.0  66.3  85.2)
e000-i0098 => L=1.735 acc= 45% / t(ms):   5.9  64.6  84.9)
e000-i0105 => L=1.616 acc= 36% / t(ms):   5.8  65.5  84.3)
e000-i0112 => L=1.507 acc= 45% / t(ms):   6.1  64.5  83.5)
e000-i0119 => L=1.551 acc= 46% / t(ms):   6.3  65.3  84.1)
e000-i0126 => L=1.602 acc= 41% / t(ms):   6.1  65.2  84.1)
e000-i0133 => L=1.213 acc= 56% / t(ms):   5.9  64.3  84.0)
e000-i0140 => L=1.859 acc= 53% / t(ms):   5.7  66.9  85.0)
e000-i0146 => L=1.428 acc= 54% / t(ms):   5.7  65.3  94.4)
e000-i0153 => L=1.582 acc= 46% / t(ms):   5.7  64.9  87.9)
e000-i0160 => L=1.477 acc= 60% / t(ms):   5.8  64.6  85.7)
e000-i0167 => L=1.204 acc= 63% / t(ms):   5.7  63.8  82.1)
e000-i0174 => L=1.054 acc= 73% / t(ms):   5.9  64.1  81.9)
e000-i0181 => L=2.140 acc= 34% / t(ms):   6.0  62.4  84.0)
e000-i0188 => L=2.136 acc= 42% / t(ms):   6.2  63.9  84.0)
e000-i0195 => L=1.785 acc= 33% / t(ms):   6.5  62.4  83.5)
e000-i0202 => L=1.480 acc= 51% / t(ms):   6.1  64.0  83.8)
e000-i0209 => L=1.396 acc= 56% / t(ms):   5.9  64.5  82.8)
e000-i0216 => L=1.633 acc= 44% / t(ms):   5.9  65.9  84.2)
e000-i0223 => L=1.668 acc= 48% / t(ms):   5.7  68.3  86.0)
e000-i0230 => L=1.213 acc= 64% / t(ms):   5.8  67.9  85.0)
e000-i0237 => L=1.258 acc= 58% / t(ms):   5.9  68.9  85.6)
e000-i0244 => L=1.317 acc= 58% / t(ms):   6.1  67.1  84.5)
e000-i0251 => L=1.408 acc= 45% / t(ms):   5.8  67.9  84.5)
e000-i0258 => L=1.541 acc= 44% / t(ms):   5.6  66.8  84.7)
e000-i0265 => L=1.361 acc= 52% / t(ms):   5.6  64.6  84.3)
e000-i0272 => L=1.646 acc= 44% / t(ms):   5.8  64.2  82.5)
e000-i0279 => L=1.475 acc= 53% / t(ms):   6.3  65.1  82.5)
e000-i0286 => L=1.526 acc= 47% / t(ms):   6.1  64.1  84.4)
e000-i0293 => L=1.351 acc= 61% / t(ms):   6.2  64.5  85.6)
e000-i0300 => L=1.385 acc= 49% / t(ms):   6.0  64.4  83.4)
e000-i0307 => L=1.233 acc= 59% / t(ms):   6.2  66.1  83.9)
e000-i0314 => L=1.233 acc= 58% / t(ms):   6.1  66.4  84.7)
e000-i0321 => L=1.512 acc= 52% / t(ms):   6.0  67.8  83.7)
e000-i0328 => L=0.902 acc= 71% / t(ms):   5.8  66.5  84.9)
e000-i0335 => L=1.460 acc= 53% / t(ms):   5.7  66.2  83.3)
e000-i0342 => L=1.556 acc= 46% / t(ms):   5.6  65.7  84.0)
e000-i0349 => L=1.577 acc= 50% / t(ms):   5.7  65.6  85.4)
e000-i0356 => L=1.159 acc= 61% / t(ms):   5.8  65.6  84.8)
e000-i0363 => L=1.387 acc= 52% / t(ms):   5.7  64.8  84.5)
e000-i0370 => L=1.329 acc= 53% / t(ms):   5.6  65.5  83.2)
e000-i0377 => L=1.157 acc= 64% / t(ms):   6.2  63.4  83.5)
e000-i0384 => L=1.580 acc= 39% / t(ms):   5.9  65.6  84.2)
e000-i0391 => L=1.313 acc= 57% / t(ms):   5.8  66.5  83.7)
e000-i0398 => L=1.483 acc= 48% / t(ms):   5.7  66.2  82.4)
e000-i0405 => L=1.280 acc= 58% / t(ms):   6.0  67.5  83.3)
e000-i0412 => L=1.847 acc= 41% / t(ms):   5.9  67.0  84.6)
e000-i0419 => L=1.350 acc= 59% / t(ms):   5.7  64.1  84.2)
e000-i0426 => L=1.149 acc= 60% / t(ms):   5.8  66.1  83.8)
e000-i0433 => L=1.141 acc= 67% / t(ms):   6.0  64.7  83.7)
e000-i0440 => L=1.141 acc= 58% / t(ms):   5.9  65.5  85.2)
e000-i0447 => L=1.423 acc= 47% / t(ms):   5.9  65.9  84.2)
e000-i0454 => L=1.165 acc= 62% / t(ms):   6.0  67.1  83.8)
e000-i0461 => L=1.535 acc= 43% / t(ms):   5.8  67.1  82.8)
e000-i0468 => L=0.950 acc= 64% / t(ms):   6.1  64.7  82.0)
e000-i0475 => L=1.178 acc= 59% / t(ms):   6.1  64.1  82.8)
e000-i0482 => L=1.683 acc= 42% / t(ms):   6.1  64.4  82.6)
e000-i0489 => L=1.677 acc= 44% / t(ms):   5.9  64.2  85.8)
e000-i0496 => L=1.405 acc= 52% / t(ms):   5.8  65.1  83.9)
Validation : 0.0% (timings : 49.94 4.13)
Validation : 22.0% (timings : 42.10 28.76)
Validation : 52.0% (timings : 32.69 37.77)
Validation : 82.0% (timings : 32.04 41.02)
S3DIS mean IoU = 22.2%
