2023-04-10 07:14:45,560 INFO    MainThread:735404 [wandb_setup.py:_flush():76] Configure stats pid to 735404
2023-04-10 07:14:45,561 INFO    MainThread:735404 [wandb_setup.py:_flush():76] Loading settings from /home/zhenli/.config/wandb/settings
2023-04-10 07:14:45,561 INFO    MainThread:735404 [wandb_setup.py:_flush():76] Loading settings from /home/zhenli/KPConv-Triplane/wandb/settings
2023-04-10 07:14:45,561 INFO    MainThread:735404 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-10 07:14:45,561 INFO    MainThread:735404 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-10 07:14:45,561 INFO    MainThread:735404 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train_SemanticKitti.py', 'program': 'train_SemanticKitti.py'}
2023-04-10 07:14:45,562 INFO    MainThread:735404 [wandb_init.py:_log_setup():506] Logging user logs to /home/zhenli/KPConv-Triplane/wandb/run-20230410_071445-nlyrm4ec/logs/debug.log
2023-04-10 07:14:45,562 INFO    MainThread:735404 [wandb_init.py:_log_setup():507] Logging internal logs to /home/zhenli/KPConv-Triplane/wandb/run-20230410_071445-nlyrm4ec/logs/debug-internal.log
2023-04-10 07:14:45,562 INFO    MainThread:735404 [wandb_init.py:init():546] calling init triggers
2023-04-10 07:14:45,562 INFO    MainThread:735404 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {}
2023-04-10 07:14:45,563 INFO    MainThread:735404 [wandb_init.py:init():602] starting backend
2023-04-10 07:14:45,563 INFO    MainThread:735404 [wandb_init.py:init():606] setting up manager
2023-04-10 07:14:45,568 INFO    MainThread:735404 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-04-10 07:14:45,572 INFO    MainThread:735404 [wandb_init.py:init():613] backend started and connected
2023-04-10 07:14:45,575 INFO    MainThread:735404 [wandb_init.py:init():701] updated telemetry
2023-04-10 07:14:45,583 INFO    MainThread:735404 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-04-10 07:14:45,895 INFO    MainThread:735404 [wandb_run.py:_on_init():2133] communicating current version
2023-04-10 07:14:46,005 INFO    MainThread:735404 [wandb_run.py:_on_init():2142] got version response upgrade_message: "wandb version 0.14.2 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-04-10 07:14:46,005 INFO    MainThread:735404 [wandb_init.py:init():789] starting run threads in backend
2023-04-10 07:14:48,219 INFO    MainThread:735404 [wandb_run.py:_console_start():2114] atexit reg
2023-04-10 07:14:48,219 INFO    MainThread:735404 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-04-10 07:14:48,219 INFO    MainThread:735404 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-04-10 07:14:48,219 INFO    MainThread:735404 [wandb_run.py:_redirect():2059] Redirects installed.
2023-04-10 07:14:48,220 INFO    MainThread:735404 [wandb_init.py:init():831] run started, returning control to user process
2023-04-10 07:14:48,220 INFO    MainThread:735404 [wandb_run.py:_config_callback():1251] config_cb None None {'num_layers': 5, 'deform_layers': [False, False, False, False, False]}
