Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_1, subsampled at 0.030
146.6 MB loaded in 0.2s
Found KDTree for cloud Area_2, subsampled at 0.030
159.1 MB loaded in 0.2s
Found KDTree for cloud Area_3, subsampled at 0.030
62.6 MB loaded in 0.1s
Found KDTree for cloud Area_4, subsampled at 0.030
144.2 MB loaded in 0.3s
Found KDTree for cloud Area_6, subsampled at 0.030
137.9 MB loaded in 0.3s
Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_5, subsampled at 0.030
260.4 MB loaded in 0.5s
Preparing reprojection indices for testing
Area_5 done in 0.3s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"random_1.200_0.030_6": 58084
Check neighbors limit dictionary
[92m"0.030_0.075": 28
[92m"0.060_0.150": 32
[92m"0.120_0.300": 40
[92m"0.240_0.600": 40
[92m"0.480_1.200": 37
Calibration done in 0.0s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"random_1.200_0.030_6": 58084
Check neighbors limit dictionary
[92m"0.030_0.075": 28
[92m"0.060_0.150": 32
[92m"0.120_0.300": 40
[92m"0.240_0.600": 40
[92m"0.480_1.200": 37
Calibration done in 0.0s
Model Preparation
*****************
Done in 1.1s
Start training
**************
Backend QtAgg is interactive backend. Turning interactive mode on.
e000-i0000 => L=2.549 acc=  7% / t(ms): 1196.9 216524.2  66.0)
e000-i0006 => L=2.491 acc= 14% / t(ms):  13.2  76.1  94.4)
e000-i0013 => L=2.196 acc= 29% / t(ms):   9.4  74.1  89.9)
e000-i0020 => L=2.029 acc= 23% / t(ms):   7.8  72.3  88.9)
e000-i0027 => L=2.234 acc= 34% / t(ms):   6.8  72.1  87.8)
e000-i0034 => L=1.773 acc= 49% / t(ms):   6.5  71.7  85.9)
e000-i0041 => L=1.823 acc= 43% / t(ms):   6.4  70.4  85.0)
e000-i0048 => L=1.662 acc= 38% / t(ms):   6.1  70.2  83.8)
e000-i0055 => L=1.526 acc= 51% / t(ms):   6.2  69.9  83.7)
e000-i0062 => L=1.614 acc= 49% / t(ms):   6.5  69.1  84.8)
e000-i0068 => L=1.350 acc= 61% / t(ms):   6.6  71.3  86.7)
e000-i0075 => L=1.650 acc= 50% / t(ms):   6.1  70.5  84.6)
e000-i0081 => L=1.736 acc= 42% / t(ms):   6.2  71.6  85.7)
e000-i0088 => L=1.619 acc= 49% / t(ms):   6.2  71.7  85.2)
e000-i0094 => L=1.731 acc= 44% / t(ms):   6.0  73.2  86.2)
e000-i0100 => L=1.717 acc= 46% / t(ms):   6.1  73.4  87.3)
e000-i0107 => L=1.448 acc= 50% / t(ms):   5.9  72.4  86.4)
e000-i0113 => L=1.263 acc= 63% / t(ms):   6.0  73.4  87.4)
e000-i0119 => L=1.762 acc= 44% / t(ms):   5.9  73.0  88.0)
e000-i0126 => L=1.751 acc= 45% / t(ms):   5.8  72.7  86.6)
e000-i0133 => L=1.310 acc= 63% / t(ms):   6.1  72.3  86.2)
e000-i0140 => L=1.285 acc= 60% / t(ms):   6.2  72.5  86.3)
e000-i0147 => L=1.922 acc= 33% / t(ms):   6.0  71.3  84.4)
e000-i0153 => L=1.574 acc= 47% / t(ms):   6.0  72.2  86.0)
e000-i0160 => L=1.320 acc= 61% / t(ms):   6.2  72.7  86.8)
e000-i0167 => L=1.205 acc= 66% / t(ms):   6.2  72.4  85.6)
e000-i0174 => L=1.599 acc= 42% / t(ms):   6.0  72.6  86.5)
e000-i0181 => L=1.668 acc= 40% / t(ms):   6.2  72.2  86.0)
e000-i0188 => L=1.318 acc= 58% / t(ms):   6.0  72.7  85.9)
e000-i0195 => L=1.667 acc= 43% / t(ms):   5.9  73.1  86.0)
e000-i0202 => L=1.279 acc= 59% / t(ms):   6.0  72.3  86.0)
e000-i0209 => L=1.648 acc= 49% / t(ms):   6.0  71.9  85.8)
e000-i0216 => L=1.598 acc= 45% / t(ms):   6.0  71.9  84.7)
e000-i0223 => L=1.555 acc= 41% / t(ms):   6.3  70.8  84.4)
e000-i0230 => L=1.553 acc= 49% / t(ms):   6.3  71.5  84.9)
e000-i0237 => L=1.234 acc= 59% / t(ms):   6.3  71.3  85.2)
e000-i0244 => L=1.180 acc= 59% / t(ms):   6.0  70.1  82.8)
e000-i0250 => L=1.125 acc= 61% / t(ms):   6.0  72.1  84.6)
e000-i0257 => L=1.371 acc= 58% / t(ms):   5.9  71.3  85.4)
e000-i0264 => L=1.205 acc= 60% / t(ms):   5.8  71.0  85.3)
