2023-04-14 01:57:43,624 INFO    MainThread:1311531 [wandb_setup.py:_flush():76] Configure stats pid to 1311531
2023-04-14 01:57:43,625 INFO    MainThread:1311531 [wandb_setup.py:_flush():76] Loading settings from /home/zhenli/.config/wandb/settings
2023-04-14 01:57:43,625 INFO    MainThread:1311531 [wandb_setup.py:_flush():76] Loading settings from /home/zhenli/KPConv-Triplane/wandb/settings
2023-04-14 01:57:43,625 INFO    MainThread:1311531 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-14 01:57:43,625 INFO    MainThread:1311531 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-14 01:57:43,625 INFO    MainThread:1311531 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train_S3DIS.py', 'program': 'train_S3DIS.py'}
2023-04-14 01:57:43,625 INFO    MainThread:1311531 [wandb_init.py:_log_setup():506] Logging user logs to /home/zhenli/KPConv-Triplane/wandb/run-20230414_015743-ls9pnqx3/logs/debug.log
2023-04-14 01:57:43,625 INFO    MainThread:1311531 [wandb_init.py:_log_setup():507] Logging internal logs to /home/zhenli/KPConv-Triplane/wandb/run-20230414_015743-ls9pnqx3/logs/debug-internal.log
2023-04-14 01:57:43,625 INFO    MainThread:1311531 [wandb_init.py:init():546] calling init triggers
2023-04-14 01:57:43,625 INFO    MainThread:1311531 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {}
2023-04-14 01:57:43,625 INFO    MainThread:1311531 [wandb_init.py:init():602] starting backend
2023-04-14 01:57:43,625 INFO    MainThread:1311531 [wandb_init.py:init():606] setting up manager
2023-04-14 01:57:43,626 INFO    MainThread:1311531 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-04-14 01:57:43,628 INFO    MainThread:1311531 [wandb_init.py:init():613] backend started and connected
2023-04-14 01:57:43,631 INFO    MainThread:1311531 [wandb_init.py:init():701] updated telemetry
2023-04-14 01:57:43,636 INFO    MainThread:1311531 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-04-14 01:57:43,919 INFO    MainThread:1311531 [wandb_run.py:_on_init():2133] communicating current version
2023-04-14 01:57:44,039 INFO    MainThread:1311531 [wandb_run.py:_on_init():2142] got version response upgrade_message: "wandb version 0.14.2 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-04-14 01:57:44,039 INFO    MainThread:1311531 [wandb_init.py:init():789] starting run threads in backend
2023-04-14 01:57:46,215 INFO    MainThread:1311531 [wandb_run.py:_console_start():2114] atexit reg
2023-04-14 01:57:46,216 INFO    MainThread:1311531 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-04-14 01:57:46,216 INFO    MainThread:1311531 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-04-14 01:57:46,216 INFO    MainThread:1311531 [wandb_run.py:_redirect():2059] Redirects installed.
2023-04-14 01:57:46,217 INFO    MainThread:1311531 [wandb_init.py:init():831] run started, returning control to user process
2023-04-14 01:57:46,217 INFO    MainThread:1311531 [wandb_run.py:_config_callback():1251] config_cb None None {'num_layers': 5, 'deform_layers': [False, False, False, False, False]}
