Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_1, subsampled at 0.030
146.6 MB loaded in 0.2s
Found KDTree for cloud Area_2, subsampled at 0.030
159.1 MB loaded in 0.2s
Found KDTree for cloud Area_3, subsampled at 0.030
62.6 MB loaded in 0.1s
Found KDTree for cloud Area_4, subsampled at 0.030
144.2 MB loaded in 0.2s
Found KDTree for cloud Area_6, subsampled at 0.030
137.9 MB loaded in 0.2s
Preparing potentials
Done in 0.3s
Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_5, subsampled at 0.030
260.4 MB loaded in 0.4s
Preparing potentials
Done in 0.1s
Preparing reprojection indices for testing
Area_5 done in 0.3s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"potentials_1.200_0.030_6": 47563
Check neighbors limit dictionary
[92m"0.030_0.075": 28
[92m"0.060_0.150": 32
[92m"0.120_0.300": 40
[92m"0.240_0.600": 33
[92m"0.480_1.200": 18
Calibration done in 0.0s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"potentials_1.200_0.030_6": 47563
Check neighbors limit dictionary
[92m"0.030_0.075": 28
[92m"0.060_0.150": 32
[92m"0.120_0.300": 40
[92m"0.240_0.600": 33
[92m"0.480_1.200": 18
Calibration done in 0.0s
Model Preparation
*****************
Done in 0.7s
Start training
**************
e000-i0000 => L=2.568 acc=  7% / t(ms): 1669.9 668.0 126.8)
e000-i0003 => L=2.448 acc= 34% / t(ms): 113.8  61.7  69.1)
e000-i0005 => L=2.295 acc= 56% / t(ms): 214.7  59.4  68.4)
e000-i0007 => L=2.163 acc= 61% / t(ms): 286.2  56.3  67.6)
e000-i0009 => L=2.060 acc= 56% / t(ms): 348.0  53.8  67.0)
e000-i0011 => L=1.828 acc= 57% / t(ms): 400.8  52.1  66.5)
e000-i0013 => L=1.945 acc= 47% / t(ms): 452.0  51.1  66.5)
e000-i0015 => L=1.493 acc= 59% / t(ms): 486.1  50.2  66.8)
e000-i0017 => L=1.335 acc= 67% / t(ms): 499.8  48.6  66.0)
e000-i0019 => L=1.597 acc= 53% / t(ms): 523.7  49.0  65.0)
e000-i0021 => L=1.079 acc= 66% / t(ms): 568.0  51.8  64.7)
e000-i0023 => L=1.690 acc= 54% / t(ms): 583.2  51.8  65.5)
e000-i0025 => L=1.316 acc= 63% / t(ms): 603.9  51.6  66.9)
e000-i0027 => L=1.382 acc= 60% / t(ms): 617.2  51.0  67.1)
e000-i0029 => L=1.117 acc= 71% / t(ms): 616.6  50.0  74.7)
e000-i0031 => L=1.806 acc= 54% / t(ms): 613.1  49.6  73.4)
e000-i0033 => L=1.077 acc= 71% / t(ms): 625.3  49.4  72.6)
e000-i0035 => L=1.515 acc= 48% / t(ms): 631.6  49.4  72.7)
e000-i0037 => L=1.308 acc= 69% / t(ms): 631.4  49.5  73.3)
