Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_1, subsampled at 0.030
146.6 MB loaded in 0.1s
Found KDTree for cloud Area_2, subsampled at 0.030
159.1 MB loaded in 0.1s
Found KDTree for cloud Area_3, subsampled at 0.030
62.6 MB loaded in 0.0s
Found KDTree for cloud Area_4, subsampled at 0.030
144.2 MB loaded in 0.1s
Found KDTree for cloud Area_6, subsampled at 0.030
137.9 MB loaded in 0.1s
Preparing potentials
Done in 0.2s
Preparing ply files
Done in 0.0s
Found KDTree for cloud Area_5, subsampled at 0.030
260.4 MB loaded in 0.2s
Preparing potentials
Done in 0.1s
Preparing reprojection indices for testing
Area_5 done in 0.2s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"potentials_0.500_0.030_3": 2947
Check neighbors limit dictionary
[92m"0.030_0.075": 27
[92m"0.060_0.150": 31
[92m"0.120_0.300": 37
[92m"0.240_0.600": 28
[92m"0.480_1.200": 9
Calibration done in 0.0s
Starting Calibration (use verbose=True for more details)
Previous calibration found:
Check batch limit dictionary
[92m"potentials_0.500_0.030_3": 2947
Check neighbors limit dictionary
[92m"0.030_0.075": 27
[92m"0.060_0.150": 31
[92m"0.120_0.300": 37
[92m"0.240_0.600": 28
[92m"0.480_1.200": 9
Calibration done in 0.0s
Model Preparation
*****************
Done in 0.8s
Start training
**************
Backend QtAgg is interactive backend. Turning interactive mode on.
e000-i0000 => L=2.623 acc=  1% / t(ms): 944.5 31482.7 952.4)
e000-i0004 => L=2.504 acc= 10% / t(ms):   5.4 121.4 216.2)
e000-i0008 => L=2.271 acc= 50% / t(ms):   5.2 110.3 219.4)
e000-i0011 => L=2.294 acc= 26% / t(ms):   5.1 112.4 225.9)
e000-i0014 => L=2.109 acc= 42% / t(ms):   5.0 111.1 225.9)
e000-i0017 => L=1.690 acc= 58% / t(ms):   4.9 113.6 231.2)
e000-i0020 => L=1.304 acc= 78% / t(ms):   4.9 112.7 228.4)
e000-i0023 => L=1.749 acc= 43% / t(ms):   4.9 106.0 232.4)
e000-i0027 => L=2.168 acc= 11% / t(ms):   5.1  98.5 231.2)
e000-i0030 => L=2.570 acc=  0% / t(ms):   5.0 102.2 235.9)
e000-i0034 => L=3.174 acc=  2% / t(ms):   5.1  98.7 226.6)
e000-i0037 => L=3.271 acc=  7% / t(ms):   5.0  97.7 230.4)
e000-i0041 => L=1.877 acc= 39% / t(ms):   5.0  91.9 226.5)
e000-i0044 => L=2.318 acc= 23% / t(ms):   4.9  93.3 230.8)
e000-i0047 => L=2.430 acc=  3% / t(ms):   4.8  96.3 236.4)
e000-i0050 => L=2.130 acc= 32% / t(ms):   4.8  97.9 237.4)
e000-i0054 => L=2.507 acc= 27% / t(ms):   4.7  92.8 230.7)
